Station Category;Station Type;ID Hash;WMO ID;Alternative IDs;Name;Location Lat,Lon;Elevation;Start Date;End Date;Horizontal Distance;Vertical Distance;Effective Distance
SYNOP;SYNO;3548688996;166250;;Kavala/Amigdhaleon;40.9333,24.3833;62m;2003-03-02T18:00:00Z;2003-03-16T12:00:00Z;-999;-999;-999
SYNOP;SYNO;3559865769;167010;;Athinai;38.05,23.6667;136m;2005-08-18T12:00:00Z;2009-10-18T18:00:00Z;-999;-999;-999
SYNOP;SYNO;3571782668;166720;LGAG;Agrinion Air Base;38.602,21.3512;47m;2001-07-05T12:00:00Z;2009-10-18T18:00:00Z;-999;-999;-999
METAR;META;3575178491;167540;LGIR;Heraklion International Nikos Kazantzakis Airport;35.3397,25.1803;35m;1989-12-31T23:50:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;3581936721;157300;;Kurdjali;41.65,25.3667;330m;1990-01-01T00:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
METAR;META;3582501619;170540;LTBU;Tekirdağ Çorlu Airport;41.1382,27.9191;175m;1992-12-23T07:00:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;3594917706;166750;;Lamia;38.8766,22.436;12.46m;1990-01-01T06:00:00Z;2017-01-17T09:00:00Z;-999;-999;-999
SYNOP;SYNO;3602791999;171860;;Manisa;38.6167,27.4333;71m;1990-02-28T03:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;3669067996;136240;;Qyteti Stalin;40.8,19.9;32m;1990-01-01T00:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
METAR;META;3682368707;172910;LTFE;Milas Bodrum International Airport;37.2506,27.6643;6m;1998-10-09T08:50:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;3690168652;157250;;Snejanka;41.6667,24.6833;1923m;1990-01-01T03:00:00Z;2002-06-18T18:00:00Z;-999;-999;-999
SYNOP;SYNO;3739504147;172900;LTBV;Bodrum-Imsık Airport;37.1401,27.6697;62m;1990-01-01T00:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
SYNOP;SYNO;3770295031;136150;LATI;Tirana International Airport Mother Teresa;41.4147,19.7206;38m;1990-01-01T00:00:00Z;2017-11-30T23:20:00Z;-999;-999;-999
SYNOP;SYNO;3819785286;167230;LGSM;Samos Airport;37.69,26.9117;6m;1990-01-01T06:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
SYNOP;SYNO;3909388483;170520;;Kirklareli;41.7381,27.2178;232m;1991-02-02T12:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
METAR;META;4021535354;166870;LGRX;Araxos Airport;38.1511,21.4256;14m;1990-01-01T00:37:00Z;2017-11-30T22:50:00Z;-999;-999;-999
METAR;META;4046154950;;LGKC;Kithira Airport;36.2743,23.017;319m;1998-05-15T05:00:00Z;2017-11-30T16:50:00Z;-999;-999;-999
SYNOP;SYNO;4129008659;172340;LTBD;Çıldır Airport;37.815,27.8953;31m;1990-01-01T00:00:00Z;2017-11-30T23:00:00Z;-999;-999;-999
SYNOP;SYNO;4159787686;167430;;Kythira;36.1492,22.9887;166.1m;1990-01-01T12:00:00Z;2017-11-30T18:00:00Z;-999;-999;-999
SYNOP;SYNO;4196516001;135950;;Strumica;41.4333,22.65;-9999m;2001-11-13T06:00:00Z;2017-11-30T21:00:00Z;-999;-999;-999
SYNOP;SYNO;4288750305;172190;LTBJ;Adnan Menderes International Airport;38.2924,27.157;126m;1989-12-31T23:50:00Z;2017-11-30T23:20:00Z;-999;-999;-999
